geneSymbol	chromosome
CBWD2	chr2
FOXD4L1	chr2
DQ598479	chr2
FAM138B	chr2
WASH2P	chr2
DKFZp434K1323	chr2
RABL2A	chr2
ACTR3	chr2
LOC440900	chr2
DPP10	chr2
DQ571524	chr2
DDX18	chr2
INSIG2	chr2
MARCO	chr2
STEAP3	chr2
DBI	chr2
DL492217	chr2
TMEM37	chr2
PCDP1	chr2
TMEM177	chr2
PTPN4	chr2
EPB41L5	chr2
RALB	chr2
INHBB	chr2
GLI2	chr2
RNU4ATAC	chr2
LOC254128	chr2
TSN	chr2
CNTNAP5	chr2
GYPC	chr2
PROC	chr2
MYO7B	chr2
GPR17	chr2
SFT2D3	chr2
UGGT1	chr2
AK311291	chr2
RAB6C	chr2
DQ582260	chr2
DQ590589	chr2
CCDC74B-AS1	chr2
MZT2B	chr2
FLJ14346	chr2
IMP4	chr2
PTPN18	chr2
CFC1B	chr2
LOC646743	chr2
TISP43	chr2
POTEJ	chr2
DQ600793	chr2
DQ600792	chr2
DQ599716	chr2
DQ591735	chr2
CYP4F30P	chr2
AK054990	chr2
GPR148	chr2
AMER3	chr2
AK127124	chr2
ARHGEF4	chr2
PLEKHB2	chr2
POTEE	chr2
DQ570062	chr2
DQ587054	chr2
LOC440910	chr2
DQ601639	chr2
LOC389043	chr2
TUBA3D	chr2
LOC150776	chr2
CCDC74A	chr2
RNU6-81P	chr2
FKSG30	chr2
DQ583165	chr2
BX648270	chr2
C2orf27A	chr2
AK094599	chr2
GPR39	chr2
BC031872	chr2
BC008215	chr2
MIR3679	chr2
MGAT5	chr2
ACMSD	chr2
CCNT2	chr2
RAB3GAP1	chr2
R3HDM1	chr2
MIR128-1	chr2
UBXN4	chr2
LOC100507600	chr2
THSD7B	chr2
HNMT	chr2
SPOPL	chr2
YY1P2	chr2
KYNU	chr2
ARHGAP15	chr2
ZEB2-AS1	chr2
TEX41	chr2
BC040861	chr2
U80770	chr2
PABPC1P2	chr2
ACVR2A	chr2
MBD5	chr2
AK001975	chr2
EPC2	chr2
KIF5C	chr2
LYPD6B	chr2
LYPD6	chr2
TNFAIP6	chr2
MIR4773-1	chr2
RIF1	chr2
FMNL2	chr2
ARL6IP6	chr2
GALNT13	chr2
KCNJ3	chr2
GPD2	chr2
AK027840	chr2
GALNT5	chr2
UPP2	chr2
CCDC148-AS1	chr2
PKP4	chr2
DAPL1	chr2
TANC1	chr2
MARCH7	chr2
TANK	chr2
AK027541	chr2
PSMD14	chr2
TBR1	chr2
SLC4A10	chr2
GCA	chr2
BC042876	chr2
SCN2A	chr2
CSRNP3	chr2
LOC100506134	chr2
BC051759	chr2
XIRP2	chr2
B3GALT1	chr2
CERS6	chr2
MIR4774	chr2
NOSTRIN	chr2
G6PC2	chr2
DHRS9	chr2
BC016143	chr2
BBS5	chr2
KLHL41	chr2
PPIG	chr2
PHOSPHO2-KLHL23	chr2
PHOSPHO2	chr2
KLHL23	chr2
SSB	chr2
UBR3	chr2
MYO3B	chr2
SP5	chr2
LOC100505695	chr2
ERICH2	chr2
GAD1	chr2
GORASP2	chr2
DCAF17	chr2
CYBRD1	chr2
DYNC1I2	chr2
HAT1	chr2
METAP1D	chr2
DLX1	chr2
ITGA6	chr2
PDK1	chr2
RAPGEF4	chr2
ZAK	chr2
CDCA7	chr2
LOC285084	chr2
SP9	chr2
SCRN3	chr2
BC046497	chr2
AK002090	chr2
HOXD13	chr2
HOXD12	chr2
HOXD11	chr2
HOXD10	chr2
HOXD9	chr2
HOXD8	chr2
BC047605	chr2
MIR10B	chr2
HOXD4	chr2
HOXD3	chr2
HOXD1	chr2
MTX2	chr2
HNRNPA3	chr2
MIR4444-1	chr2
AGPS	chr2
RBM45	chr2
OSBPL6	chr2
MIR548N	chr2
BX538254	chr2
DFNB59	chr2
PLEKHA3	chr2
TTN-AS1	chr2
AX746670	chr2
AK123298	chr2
JB175181	chr2
SChLAP1	chr2
UBE2E3	chr2
AK125001	chr2
ITGA4	chr2
SSFA2	chr2
PPP1R1C	chr2
DNAJC10	chr2
DUSP19	chr2
NUP35	chr2
ZNF804A	chr2
FSIP2	chr2
ZC3H15	chr2
AL049948	chr2
ITGAV	chr2
FAM171B	chr2
GULP1	chr2
MIR561	chr2
COL3A1	chr2
MIR1245A	chr2
MIR3606	chr2
WDR75	chr2
ASNSD1	chr2
ANKAR	chr2
OSGEPL1-AS1	chr2
PMS1	chr2
C2orf88	chr2
INPP1	chr2
MFSD6	chr2
NAB1	chr2
GLS	chr2
MYO1B	chr2
NABP1	chr2
PCGEM1	chr2
BC038548	chr2
SLC39A10	chr2
BC062769	chr2
CCDC150	chr2
COQ10B	chr2
HSPE1-MOB4	chr2
MOB4	chr2
HSPE1	chr2
BC021693	chr2
MARS2	chr2
PLCL1	chr2
AK125157	chr2
SATB2-AS1	chr2
AK056625	chr2
BC035629	chr2
C2orf47	chr2
C2orf69	chr2
SPATS2L	chr2
SGOL2	chr2
AOX1	chr2
AOX2P	chr2
BZW1	chr2
NIF3L1	chr2
NDUFB3	chr2
CFLAR	chr2
CASP10	chr2
CASP8	chr2
STRADB	chr2
CDK15	chr2
FZD7	chr2
LOC100652824	chr2
NOP58	chr2
SNORD70	chr2
SNORD11B	chr2
SNORD11	chr2
BMPR2	chr2
FAM117B	chr2
ALS2CR8	chr2
NBEAL1	chr2
CYP20A1	chr2
ABI2	chr2
CD28	chr2
CTLA4	chr2
ICOS	chr2
PARD3B	chr2
NRP2	chr2
BC047484	chr2
EEF1B2	chr2
SNORD51	chr2
SNORA41	chr2
GPR1AS	chr2
BC028329	chr2
AX748049	chr2
ZDBF2	chr2
ADAM23	chr2
LOC200726	chr2
FASTKD2	chr2
MIR3130-2	chr2
CPO	chr2
CREB1	chr2
CCNYL1	chr2
MIR4775	chr2
LOC100507443	chr2
IDH1-AS1	chr2
PIKFYVE	chr2
PTH2R	chr2
MAP2	chr2
UNC80	chr2
RPE	chr2
AK093026	chr2
BC130595	chr2
CPS1	chr2
CPS1-IT1	chr2
MIR4776-1	chr2
SPAG16	chr2
VWC2L	chr2
VWC2L-IT1	chr2
ATIC	chr2
TMEM169	chr2
XRCC5	chr2
AX747067	chr2
PKI55	chr2
SMARCAL1	chr2
RPL37A	chr2
IGFBP2	chr2
hCG_1816075	chr2
RUFY4	chr2
CXCR2	chr2
HV303425	chr2
ARPC2	chr2
GPBAR1	chr2
PNKD	chr2
C2orf62	chr2
SLC11A1	chr2
CTDSP1	chr2
MIR26B	chr2
VIL1	chr2
RQCD1	chr2
PLCD4	chr2
BCS1L	chr2
STK36	chr2
TTLL4	chr2
CYP27A1	chr2
AX748340	chr2
WNT6	chr2
WNT10A	chr2
CDK5R2	chr2
LINC00608	chr2
LOC100129175	chr2
FAM134A	chr2
ZFAND2B	chr2
ANKZF1	chr2
STK16	chr2
TUBA4B	chr2
DNAJB2	chr2
DES	chr2
SPEG	chr2
GMPPA	chr2
ASIC4	chr2
TMEM198	chr2
INHA	chr2
STK11IP	chr2
SLC4A3	chr2
AX747413	chr2
CCDC140	chr2
LOC440934	chr2
SGPP2	chr2
MOGAT1	chr2
ACSL3	chr2
KCNE4	chr2
MRPL44	chr2
NYAP2	chr2
MIR548AR	chr2
LOC646736	chr2
RHBDD1	chr2
AX748395	chr2
COL4A3	chr2
MFF	chr2
AGFG1	chr2
MIR5703	chr2
CCL20	chr2
DAW1	chr2
FBXO36	chr2
SP140	chr2
SP140L	chr2
SP100	chr2
CAB39	chr2
ITM2C	chr2
LOC151484	chr2
SPATA3	chr2
C2orf72	chr2
PSMD1	chr2
ARMC9	chr2
MIR4777	chr2
B3GNT7	chr2
C2orf57	chr2
PTMA	chr2
MIR1244-2	chr2
COPS7B	chr2
DIS3L2	chr2
ALPP	chr2
ALPPL2	chr2
ALPI	chr2
PRSS56	chr2
CHRND	chr2
CHRNG	chr2
EIF4E2	chr2
EFHD1	chr2
GIGYF2	chr2
AX748196	chr2
C2orf82	chr2
NEU2	chr2
INPP5D	chr2
ATG16L1	chr2
SCARNA5	chr2
SCARNA6	chr2
SAG	chr2
DGKD	chr2
UGT1A1	chr2
UGT1A6	chr2
UGT1A9	chr2
UGT1A7	chr2
UGT1A8	chr2
UGT1A4	chr2
UGT1A10	chr2
UGT1A5	chr2
UGT1A3	chr2
DQ655968	chr2
DQ655967	chr2
DQ655969	chr2
HEATR7B1	chr2
TRPM8	chr2
SPP2	chr2
SH3BP4	chr2
BC148242	chr2
AGAP1	chr2
AK000798	chr2
CXCR7	chr2
AK023507	chr2
COPS8	chr2
MLPH	chr2
PRLH	chr2
LRRFIP1	chr2
RBM44	chr2
RAMP1	chr2
UBE2F-SCLY	chr2
UBE2F	chr2
SCLY	chr2
ESPNL	chr2
KLHL30	chr2
FAM132B	chr2
LOC643387	chr2
TRAF3IP1	chr2
ASB1	chr2
TWIST2	chr2
MIR4269	chr2
BC132948	chr2
LOC150935	chr2
GPC1	chr2
MIR149	chr2
DUSP28	chr2
RNPEPL1	chr2
CAPN10	chr2
GPR35	chr2
AQP12A	chr2
AGXT	chr2
SNED1	chr2
PPP1R7	chr2
ANO7	chr2
SEPT2	chr2
FARP2	chr2
AK055601	chr2
BOK	chr2
BC017214	chr2
ATG4B	chr2
AK027332	chr2
ING5	chr2
D2HGDH	chr2
GAL3ST2	chr2
NEU4	chr2
CXXC11	chr2
AK097934	chr2
BC101234	chr2
LOC728323	chr2
FAM110C	chr2
SH3YL1	chr2
FAM150B	chr2
TMEM18	chr2
LOC339822	chr2
PXDN	chr2
MYT1L	chr2
AK095310	chr2
TSSC1	chr2
ADI1	chr2
RNASEH1	chr2
BC113076	chr2
LOC100505964	chr2
LOC727982	chr2
LINC00487	chr2
CMPK2	chr2
RNF144A-AS1	chr2
LOC339788	chr2
LINC00299	chr2
KIDINS220	chr2
MBOAT2	chr2
ITGB1BP1	chr2
ADAM17	chr2
YWHAQ	chr2
BC051708	chr2
CYS1	chr2
MIR4261	chr2
ODC1	chr2
SNORA80B	chr2
NOL10	chr2
PDIA6	chr2
FLJ33534	chr2
AX746649	chr2
ROCK2	chr2
E2F6	chr2
MIR4429	chr2
NTSR2	chr2
MIR4262	chr2
LOC100506474	chr2
BC035112	chr2
NBAS	chr2
MYCNOS	chr2
FAM49A	chr2
RAD51AP2	chr2
SMC6	chr2
NT5C1B-RDH14	chr2
NT5C1B	chr2
RDH14	chr2
OSR1	chr2
TTC32	chr2
WDR35	chr2
MATN3	chr2
LAPTM4A	chr2
SDC1	chr2
PUM2	chr2
HS1BP3	chr2
C2orf43	chr2
APOB	chr2
LOC645949	chr2
ATAD2B	chr2
C2orf44	chr2
SF3B14	chr2
TP53I3	chr2
PFN4	chr2
ITSN2	chr2
AX747227	chr2
PTRHD1	chr2
ADCY3	chr2
DNAJC27	chr2
POMC	chr2
DNMT3A	chr2
MIR1301	chr2
DTNB	chr2
ASXL2	chr2
KIF3C	chr2
HADHA	chr2
GPR113	chr2
OTOF	chr2
CIB4	chr2
AK125769	chr2
OST4	chr2
CGREF1	chr2
PREB	chr2
C2orf53	chr2
SLC5A6	chr2
SLC30A3	chr2
UCN	chr2
MPV17	chr2
GTF3C2	chr2
EIF2B4	chr2
ZNF513	chr2
PPM1G	chr2
FTH1P3	chr2
IFT172	chr2
FNDC4	chr2
CCDC121	chr2
SUPT7L	chr2
AK124439	chr2
RBKS	chr2
BRE-AS1	chr2
BC048132	chr2
LOC100505716	chr2
AK055918	chr2
TRMT61B	chr2
C2orf71	chr2
ALK	chr2
CAPN13	chr2
GALNT14	chr2
CAPN14	chr2
XDH	chr2
SRD5A2	chr2
MEMO1	chr2
DPY30	chr2
NLRC4	chr2
FAM98A	chr2
MYADML	chr2
LOC100288911	chr2
FEZ2	chr2
STRN	chr2
HEATR5B	chr2
EIF2AK2	chr2
SULT6B1	chr2
CEBPZ	chr2
PRKD3	chr2
CDC42EP3	chr2
AK057187	chr2
RMDN2-AS1	chr2
CYP1B1	chr2
ATL2	chr2
HNRPLL	chr2
SRSF7	chr2
DHX57	chr2
LOC375196	chr2
SOS1	chr2
CDKL4	chr2
MAP4K3	chr2
THUMPD2	chr2
SLC8A1	chr2
C2orf91	chr2
COX7A2L	chr2
KCNG3	chr2
OXER1	chr2
HAAO	chr2
ZFP36L2	chr2
THADA	chr2
LOC728819	chr2
ABCG5	chr2
LRPPRC	chr2
PREPL	chr2
MIR548AD	chr2
SIX2	chr2
UNQ6975	chr2
SRBD1	chr2
ATP6V1E2	chr2
AF086285	chr2
BC048424	chr2
PIGF	chr2
MCFD2	chr2
C2orf61	chr2
CALM2	chr2
AK094343	chr2
AX747384	chr2
AK056077	chr2
KCNK12	chr2
FBXO11	chr2
LHCGR	chr2
FSHR	chr2
NRXN1	chr2
ASB3	chr2
GPR75	chr2
AX747197	chr2
MIR3682	chr2
PSME4	chr2
TSPYL6	chr2
CLHC1	chr2
MTIF2	chr2
CCDC88A	chr2
SMEK2	chr2
PNPT1	chr2
EFEMP1	chr2
MIR217	chr2
MIR216A	chr2
MIR216B	chr2
BC040311	chr2
AK295617	chr2
AK311113	chr2
FANCL	chr2
MIR4432	chr2
BCL11A	chr2
AL833181	chr2
FLJ16341	chr2
PUS10	chr2
LOC339803	chr2
USP34	chr2
SNORA70B	chr2
XPO1	chr2
FAM161A	chr2
CCT4	chr2
BC071802	chr2
TMEM17	chr2
BC038779	chr2
LOC100132215	chr2
DBIL5P2	chr2
WDPCP	chr2
VPS54	chr2
PELI1	chr2
AK026714	chr2
LINC00309	chr2
AL355732	chr2
SERTAD2	chr2
AK097952	chr2
LOC400958	chr2
RAB1A	chr2
SPRED2	chr2
MIR4778	chr2
MEIS1-AS3	chr2
LOC644838	chr2
C1D	chr2
WDR92	chr2
PPP3R1	chr2
CNRIP1	chr2
BC035125	chr2
FBXO48	chr2
BMP10	chr2
GKN2	chr2
GFPT1	chr2
NFU1	chr2
AAK1	chr2
SNORA36C	chr2
AK125871	chr2
PCBP1-AS1	chr2
ASPRV1	chr2
LOC100133985	chr2
C2orf42	chr2
TIA1	chr2
SNRPG	chr2
FAM136A	chr2
TGFA	chr2
ADD2	chr2
FIGLA	chr2
CLEC4F	chr2
CD207	chr2
TEX261	chr2
MCEE	chr2
PAIP2B	chr2
CYP26B1	chr2
EXOC6B	chr2
SFXN5	chr2
RAB11FIP5	chr2
DQ580250	chr2
PRADC1	chr2
FBXO41	chr2
EGR4	chr2
NAT8	chr2
NAT8B	chr2
TPRKB	chr2
DUSP11	chr2
BOLA3	chr2
MOB1A	chr2
DCTN1	chr2
SLC4A5	chr2
C2orf81	chr2
RTKN	chr2
MOGS	chr2
CCDC142	chr2
MRPL53	chr2
LBX2	chr2
PCGF1	chr2
DQX1	chr2
AUP1	chr2
LOXL3	chr2
M1AP	chr2
Y12839	chr2
TACR1	chr2
EVA1A	chr2
GCFC2	chr2
LRRTM4	chr2
SNAR-H	chr2
BC030125	chr2
BC024248	chr2
REG1B	chr2
REG1P	chr2
D56495	chr2
D56494	chr2
REG3A	chr2
MIR4264	chr2
LRRTM1	chr2
SUCLG1	chr2
TRABD2A	chr2
TGOLN2	chr2
RETSAT	chr2
CAPG	chr2
LOC100630918	chr2
GGCX	chr2
TMEM150A	chr2
C2orf68	chr2
SFTPB	chr2
ST3GAL5	chr2
LOC90784	chr2
POLR1A	chr2
IMMT	chr2
MIR4779	chr2
REEP1	chr2
RNF103-CHMP3	chr2
CHMP3	chr2
RNF103	chr2
CD8A	chr2
CD8B	chr2
LOC285074	chr2
KRCC1	chr2
MIR4780	chr2
FABP1	chr2
FOXI3	chr2
EIF2AK3	chr2
Ig kappa	chr2
AK128525	chr2
DQ576041	chr2
LOC654342	chr2
ANKRD20A8P	chr2
FAM95A	chr2
DQ586768	chr2
DQ587539	chr2
DQ579969	chr2
LOC442028	chr2
MRPS5	chr2
ZNF514	chr2
TRIM43B	chr2
AL832439	chr2
AK057596	chr2
BC126153	chr2
DKFZp667P0924	chr2
ANKRD36C	chr2
ADRA2B	chr2
ASTL	chr2
DUSP2	chr2
STARD7	chr2
CR749695	chr2
TMEM127	chr2
SNRNP200	chr2
NEURL3	chr2
KANSL3	chr2
LMAN2L	chr2
ANKRD23	chr2
ANKRD39	chr2
SEMA4C	chr2
FAM178B	chr2
FAHD2B	chr2
ANKRD36B	chr2
ACTR1B	chr2
TMEM131	chr2
COA5	chr2
MGAT4A	chr2
KIAA1211L	chr2
TSGA10	chr2
MITD1	chr2
LYG2	chr2
LYG1	chr2
TXNDC9	chr2
REV1	chr2
AFF3	chr2
LONRF2	chr2
CHST10	chr2
TBC1D8	chr2
RNF149	chr2
SNORD89	chr2
CREG2	chr2
RFX8	chr2
MFSD9	chr2
DD413674	chr2
LOC100287010	chr2
LOC284998	chr2
LOC100506421	chr2
AK095498	chr2
LOC644617	chr2
TGFBRAP1	chr2
FHL2	chr2
LOC285000	chr2
UXS1	chr2
RGPD3	chr2
ST6GAL2	chr2
LOC729121	chr2
FLJ38668	chr2
EDAR	chr2
SH3RF3-AS1	chr2
MIR4265	chr2
MIR4266	chr2
SEPT10	chr2
AX747172	chr2
DQ584199	chr2
MIR4267	chr2
MALL	chr2
NPHP1	chr2
LINC00116	chr2
DQ595602	chr2
DQ587734	chr2
LOC151009	chr2
BUB1	chr2
AK125994	chr2
LOC541471	chr2
ZC3H8	chr2
RGPD8	chr2
FLJ42351	chr2
CKAP2L	chr2
IL1A	chr2
IL1B	chr2
IL36B	chr2
PAX8	chr2
AY343891	chr2
DDX11L2	chr2
RPL23AP7	chr2
SLC35F5	chr2
MIR4782	chr2
LOC100499194	chr2
BC033566	chr2
LOC389023	chr2
CCDC93	chr2
EN1	chr2
C1QL2	chr2
C2orf76	chr2
SCTR	chr2
TMEM185B	chr2
LOC84931	chr2
TFCP2L1	chr2
CLASP1	chr2
MKI67IP	chr2
AX747402	chr2
BIN1	chr2
CYP27C1	chr2
ERCC3	chr2
MAP3K2	chr2
MIR4783	chr2
IWS1	chr2
BC022892	chr2
LIMS2	chr2
WDR33	chr2
POLR2D	chr2
AMMECR1L	chr2
DL490450	chr2
SAP130	chr2
HS6ST1	chr2
LOC151121	chr2
LOC389033	chr2
LOC100131320	chr2
LOC440905	chr2
DQ573684	chr2
DQ595048	chr2
DQ589348	chr2
POTEF	chr2
CCDC74B	chr2
SMPD4	chr2
TUBA3E	chr2
CCDC115	chr2
LOC100216479	chr2
BC069809	chr2
POTEI	chr2
CFC1	chr2
AX746725	chr2
FAM168B	chr2
WTH3DI	chr2
LOC401010	chr2
MZT2A	chr2
MIR4784	chr2
C2orf27B	chr2
ANKRD30BL	chr2
JA668105	chr2
MIR663B	chr2
LYPD1	chr2
NCKAP5	chr2
TMEM163	chr2
LOC100129961	chr2
MAP3K19	chr2
ZRANB3	chr2
LCT	chr2
MCM6	chr2
DARS	chr2
CXCR4	chr2
NXPH2	chr2
LRP1B	chr2
GTDC1	chr2
ZEB2	chr2
AK124806	chr2
ORC4	chr2
AK055257	chr2
JB137817	chr2
MMADHC	chr2
RND3	chr2
RBM43	chr2
NMI	chr2
FW340097	chr2
MIR4773-2	chr2
NEB	chr2
ARL5A	chr2
CACNB4	chr2
STAM2	chr2
PRPF40A	chr2
RPRM	chr2
LOC100144595	chr2
BC032407	chr2
NR4A2	chr2
AK128708	chr2
ERMN	chr2
CYTIP	chr2
ACVR1C	chr2
ACVR1	chr2
CCDC148	chr2
AK126351	chr2
WDSUB1	chr2
BAZ2B	chr2
AK023566	chr2
DKFZp686H10114	chr2
LY75-CD302	chr2
LY75	chr2
CD302	chr2
PLA2R1	chr2
ITGB6	chr2
AK026736	chr2
RBMS1	chr2
MIR4785	chr2
BC073897	chr2
AHCTF1P1	chr2
DPP4	chr2
GCG	chr2
FAP	chr2
IFIH1	chr2
KCNH7	chr2
FIGN	chr2
GRB14	chr2
COBLL1	chr2
SNORA70F	chr2
SLC38A11	chr2
SCN3A	chr2
GALNT3	chr2
TTC21B	chr2
LOC100506124	chr2
SCN1A	chr2
SCN9A	chr2
SCN7A	chr2
STK39	chr2
CERS6-AS1	chr2
SPC25	chr2
ABCB11	chr2
LRP2	chr2
FASTKD1	chr2
CCDC173	chr2
METTL5	chr2
AK127400	chr2
LOC440925	chr2
AK023515	chr2
TLK1	chr2
METTL8	chr2
SLC25A12	chr2
DLX2	chr2
RAPGEF4-AS1	chr2
MLK7-AS1	chr2
SP3	chr2
OLA1	chr2
CIR1	chr2
GPR155	chr2
WIPF1	chr2
CHRNA1	chr2
CHN1	chr2
ATF2	chr2
MIR933	chr2
ATP5G3	chr2
KIAA1715	chr2
EVX2	chr2
AX747372	chr2
HOXD-AS2	chr2
HOXD-AS1	chr2
MIR1246	chr2
LOC375295	chr2
NFE2L2	chr2
LOC100130691	chr2
MIR3128	chr2
TTC30B	chr2
TTC30A	chr2
PDE11A	chr2
PRKRA	chr2
AX747806	chr2
FKBP7	chr2
TTN	chr2
CCDC141	chr2
SESTD1	chr2
ZNF385B	chr2
MIR1258	chr2
CWC22	chr2
MIR4437	chr2
CERKL	chr2
NEUROD1	chr2
PDE1A	chr2
FRZB	chr2
NCKAP1	chr2
DD413621	chr2
BC039382	chr2
ZSWIM2	chr2
CALCRL	chr2
TFPI	chr2
DIRC1	chr2
MIR1245B	chr2
COL5A2	chr2
MIR3129	chr2
SLC40A1	chr2
OSGEPL1	chr2
ORMDL1	chr2
MSTN	chr2
HIBCH	chr2
TMEM194B	chr2
STAT1	chr2
STAT4	chr2
SDPR	chr2
TMEFF2	chr2
DNAH7	chr2
STK17B	chr2
HECW2	chr2
LOC100130452	chr2
GTF3C3	chr2
C2orf66	chr2
PGAP1	chr2
ANKRD44	chr2
SF3B1	chr2
HSPD1	chr2
RFTN2	chr2
BOLL	chr2
AK096499	chr2
SATB2	chr2
AK025127	chr2
FTCDNL1	chr2
TYW5	chr2
KCTD18	chr2
LOC100507140	chr2
CLK1	chr2
PPIL3	chr2
ORC2	chr2
FAM126B	chr2
DQ582762	chr2
CFLAR-AS1	chr2
ALS2CR12	chr2
TRAK2	chr2
ALS2CR11	chr2
TMEM237	chr2
MPP4	chr2
ALS2	chr2
SUMO1	chr2
ICA1L	chr2
WDR12	chr2
RAPH1	chr2
INO80D	chr2
GCSHP3	chr2
AX747742	chr2
NDUFS1	chr2
GPR1	chr2
DYTN	chr2
MDH1B	chr2
MIR3130-1	chr2
KLF7	chr2
MIR2355	chr2
BC038530	chr2
METTL21A	chr2
FZD5	chr2
PLEKHM3	chr2
CRYGD	chr2
CRYGA	chr2
CRYGC	chr2
CRYGB	chr2
C2orf80	chr2
IDH1	chr2
JA429503	chr2
KANSL1L	chr2
ACADL	chr2
MYL1	chr2
LANCL1	chr2
ERBB4	chr2
MIR548F2	chr2
MIR4776-2	chr2
IKZF2	chr2
LOC100130451	chr2
BARD1	chr2
ABCA12	chr2
FN1	chr2
LINC00607	chr2
PECR	chr2
MREG	chr2
MARCH4	chr2
IGFBP5	chr2
TNP1	chr2
BC031974	chr2
DIRC3	chr2
TNS1	chr2
CXCR2P1	chr2
CXCR1	chr2
AAMP	chr2
TMBIM1	chr2
BC038211	chr2
USP37	chr2
ZNF142	chr2
RNF25	chr2
PRKAG3	chr2
BC038542	chr2
FEV	chr2
CRYBA2	chr2
MIR375	chr2
CCDC108	chr2
IHH	chr2
MIR3131	chr2
SLC23A3	chr2
NHEJ1	chr2
CNPPD1	chr2
ATG9A	chr2
ABCB6	chr2
GLB1L	chr2
TUBA4A	chr2
PTPRN	chr2
MIR153-1	chr2
RESP18	chr2
DNPEP	chr2
CHPF	chr2
MIR3132	chr2
OBSL1	chr2
MIR4268	chr2
EPHA4	chr2
PAX3	chr2
DD413687	chr2
FARSB	chr2
SCG2	chr2
AP1S3	chr2
WDFY1	chr2
SERPINE2	chr2
FAM124B	chr2
CUL3	chr2
DOCK10	chr2
MIR4439	chr2
MIR5702	chr2
IRS1	chr2
COL4A4	chr2
LOC654841	chr2
TM4SF20	chr2
C2orf83	chr2
SLC19A3	chr2
AX746677	chr2
SPHKAP	chr2
PID1	chr2
DNER	chr2
TRIP12	chr2
SLC16A14	chr2
SP110	chr2
LOC151475	chr2
GPR55	chr2
LOC348761	chr2
HTR2B	chr2
NCL	chr2
SNORA75	chr2
SNORD20	chr2
SNORD82	chr2
LINC00471	chr2
NMUR1	chr2
BC069004	chr2
PDE6D	chr2
MIR1471	chr2
NPPC	chr2
ECEL1P2	chr2
ECEL1	chr2
TIGD1	chr2
KCNJ13	chr2
NGEF	chr2
USP40	chr2
DNAJB3	chr2
LOC100286922	chr2
HJURP	chr2
MSL3P1	chr2
AX748264	chr2
ARL4C	chr2
AF279775	chr2
DQ587855	chr2
GBX2	chr2
ASB18	chr2
IQCA1	chr2
AK056246	chr2
COL6A3	chr2
RAB17	chr2
ILKAP	chr2
LOC151174	chr2
HES6	chr2
PER2	chr2
AF055024	chr2
LOC151171	chr2
FLJ43879	chr2
HDAC4	chr2
MIR4440	chr2
MIR4441	chr2
MGC16025	chr2
MIR2467	chr2
MIR4786	chr2
NDUFA10	chr2
OR6B2	chr2
PRR21	chr2
OR6B3	chr2
MYEOV2	chr2
OTOS	chr2
PP14571	chr2
ANKMY1	chr2
AQP12B	chr2
KIF1A	chr2
C2orf54	chr2
LOC200772	chr2
AK055890	chr2
MTERFD2	chr2
PASK	chr2
HDLBP	chr2
DKFZp686L08115	chr2
STK25	chr2
BOK-AS1	chr2
THAP4	chr2
DTYMK	chr2
AK126180	chr2
PABL	chr2
PDCD1	chr2
DEFB125	chr20
DEFB126	chr20
DEFB127	chr20
DEFB129	chr20
DEFB132	chr20
ZCCHC3	chr20
SOX12	chr20
NRSN2	chr20
TRIB3	chr20
RBCK1	chr20
FAM110A	chr20
PSMF1	chr20
C20orf202	chr20
RAD21L1	chr20
SNPH	chr20
SDCBP2-AS1	chr20
AK093519	chr20
SIRPA	chr20
AK090681	chr20
STK35	chr20
TGM3	chr20
TGM6	chr20
TMC2	chr20
NOP56	chr20
MIR1292	chr20
SNORD110	chr20
SNORA51	chr20
EBF4	chr20
C20orf141	chr20
TMEM239	chr20
PTPRA	chr20
VPS16	chr20
GNRH2	chr20
MRPS26	chr20
OXT	chr20
UBOX5-AS1	chr20
ITPA	chr20
ATRN	chr20
HSPA12B	chr20
CDC25B	chr20
BC042140	chr20
AP5S1	chr20
MAVS	chr20
PANK2	chr20
MIR103A2	chr20
BC027448	chr20
SMOX	chr20
LOC728228	chr20
PRNP	chr20
PRND	chr20
PCNA-AS1	chr20
CDS2	chr20
AX746654	chr20
LOC643406	chr20
C20orf196	chr20
CHGB	chr20
MCM8	chr20
CRLS1	chr20
BMP2	chr20
BC043288	chr20
AK097836	chr20
PLCB1	chr20
PLCB4	chr20
LAMP5	chr20
ANKEF1	chr20
SNAP25	chr20
SLX4IP	chr20
BTBD3	chr20
SPTLC3	chr20
AY927515	chr20
ISM1	chr20
NDUFAF5	chr20
MACROD2	chr20
SNRPB2	chr20
OTOR	chr20
PCSK2	chr20
DSTN	chr20
BANF2	chr20
MGME1	chr20
JB175279	chr20
CSRP2BP	chr20
PET117	chr20
ZNF133	chr20
LINC00851	chr20
POLR3F	chr20
MIR3192	chr20
SEC23B	chr20
LINC00493	chr20
DTD1	chr20
LOC100270804	chr20
SCP2D1	chr20
SLC24A3	chr20
BC090059	chr20
RIN2	chr20
NAA20	chr20
C20orf26	chr20
INSM1	chr20
PLK1S1	chr20
XRN2	chr20
PAX1	chr20
LOC100270679	chr20
SSTR4	chr20
AX747171	chr20
NXT1	chr20
GZF1	chr20
CSTL1	chr20
CST8	chr20
CST13P	chr20
DQ583395	chr20
FLJ33581	chr20
SYNDIG1	chr20
CST7	chr20
ENTPD6	chr20
PYGB	chr20
GINS1	chr20
ZNF337	chr20
BC052952	chr20
